date,year,yday,wday,hai,region,sex,cases_day,deaths_day,dalys_day
2011-01-03,2011,3,1,BSI,EU/EEA,Female,27,4,58.26
2011-01-03,2011,3,1,CDI,EU/EEA,Female,40,2,23.23
2011-01-03,2011,3,1,HAP,EU/EEA,Female,127,5,82.74
2011-01-03,2011,3,1,SSI,EU/EEA,Female,81,2,25.16
2011-01-03,2011,3,1,UTI,EU/EEA,Female,283,5,88.24
2011-01-03,2011,3,1,BSI,EU/EEA,Male,37,5,80.46
2011-01-03,2011,3,1,CDI,EU/EEA,Male,40,2,23.23
2011-01-03,2011,3,1,HAP,EU/EEA,Male,155,6,101.14
2011-01-03,2011,3,1,SSI,EU/EEA,Male,122,3,37.74
2011-01-03,2011,3,1,UTI,EU/EEA,Male,307,5,95.59
2011-01-03,2011,3,1,BSI,Germany,Female,24,4,52.97
2011-01-03,2011,3,1,CDI,Germany,Female,36,2,21.13
2011-01-03,2011,3,1,HAP,Germany,Female,115,4,75.23
2011-01-03,2011,3,1,SSI,Germany,Female,74,2,22.87
2011-01-03,2011,3,1,UTI,Germany,Female,258,4,80.21
2011-01-03,2011,3,1,BSI,Germany,Male,34,5,73.14
2011-01-03,2011,3,1,CDI,Germany,Male,36,2,21.13
2011-01-03,2011,3,1,HAP,Germany,Male,141,5,91.94
2011-01-03,2011,3,1,SSI,Germany,Male,111,3,34.31
2011-01-03,2011,3,1,UTI,Germany,Male,279,5,86.9
2011-01-04,2011,4,2,BSI,EU/EEA,Female,27,4,58.26
2011-01-04,2011,4,2,CDI,EU/EEA,Female,40,2,23.23
2011-01-04,2011,4,2,HAP,EU/EEA,Female,127,5,82.74
2011-01-04,2011,4,2,SSI,EU/EEA,Female,81,2,25.16
2011-01-04,2011,4,2,UTI,EU/EEA,Female,283,5,88.24
2011-01-04,2011,4,2,BSI,EU/EEA,Male,37,5,80.46
2011-01-04,2011,4,2,CDI,EU/EEA,Male,40,2,23.23
2011-01-04,2011,4,2,HAP,EU/EEA,Male,155,6,101.14
2011-01-04,2011,4,2,SSI,EU/EEA,Male,122,3,37.74
2011-01-04,2011,4,2,UTI,EU/EEA,Male,307,5,95.59
2011-01-04,2011,4,2,BSI,Germany,Female,24,4,52.97
2011-01-04,2011,4,2,CDI,Germany,Female,36,2,21.13
2011-01-04,2011,4,2,HAP,Germany,Female,115,4,75.23
2011-01-04,2011,4,2,SSI,Germany,Female,74,2,22.87
2011-01-04,2011,4,2,UTI,Germany,Female,258,4,80.21
2011-01-04,2011,4,2,BSI,Germany,Male,34,5,73.14
2011-01-04,2011,4,2,CDI,Germany,Male,36,2,21.13
